property_type,state_name,place_name,lat,lon,surface_total_in_m2,price_usd_per_m2
PH,Capital Federal,Mataderos,-34.6618237,-58.5088387,55.0,1127.2727272727273
apartment,Capital Federal,Mataderos,-34.6522615,-58.5229825,55.0,1309.090909090909
apartment,Buenos Aires Costa Atlántica,Centro,-38.0026256,-57.5494468,35.0,1828.5714285714291
PH,Bs.As. G.B.A. Zona Norte,Munro,-34.53295670000001,-58.52178249999999,106.0,1226.4150943396226
apartment,Capital Federal,Belgrano,-34.5598729,-58.443362,45.0,3066.666666666666
apartment,Capital Federal,Belgrano,-34.5598729,-58.443362,65.0,3000.0
apartment,Bs.As. G.B.A. Zona Norte,Martínez,-34.4860195,-58.5038139,39.0,2948.717948717949
house,Bs.As. G.B.A. Zona Norte,Bella Vista,-34.5879112015,-58.698782844499995,164.0,1524.3902439024396
PH,Capital Federal,Mataderos,-34.6523561177,-58.5016239381,140.0,1707.142857142857
house,Bs.As. G.B.A. Zona Norte,Tigre,-34.425087,-58.5796585,270.0,2111.1111111111113
apartment,Capital Federal,Palermo,-34.580503566,-58.4058744847,104.0,3365.384615384615
apartment,Capital Federal,Palermo,-34.590926,-58.4116653,118.0,2292.372881355933
house,Bs.As. G.B.A. Zona Oeste,General Rodríguez,-34.6501160392,-58.966033971499996,200.0,1450.0
house,Bs.As. G.B.A. Zona Norte,Tigre,-34.3640924,-58.6897345,230.0,1152.1739130434785
house,Bs.As. G.B.A. Zona Norte,Pilar,-34.4794863,-58.9845412,425.0,1529.411764705883
apartment,Capital Federal,Flores,-34.635117947800005,-58.4739639408,43.0,1744.186046511628
house,Bs.As. G.B.A. Zona Norte,Pilar,-34.453857,-58.84018100000001,150.0,1186.6666666666667
house,Bs.As. G.B.A. Zona Norte,Munro,-34.5417881941,-58.5403487953,207.0,628.0193236714975
apartment,Córdoba,Córdoba,-31.405373600000004,-64.1562667,50.0,616.9204
PH,Bs.As. G.B.A. Zona Norte,Munro,-34.5272528,-58.51287660000001,172.0,982.5581395348836
apartment,Capital Federal,Boedo,-34.6217693287,-58.4221081951,80.0,1812.5
house,Bs.As. G.B.A. Zona Norte,Pilar,-34.4630984,-58.9021989,400.0,1000.0
house,Bs.As. G.B.A. Zona Norte,Pilar,-34.4778621,-58.9091671,120.0,1066.6666666666667
apartment,Bs.As. G.B.A. Zona Norte,Del Viso,-34.4447426129,-58.7952483187,138.0,869.5652173913044
apartment,Bs.As. G.B.A. Zona Norte,Pilar,-34.4394337814,-58.7987030039,32.0,2468.75
house,Bs.As. G.B.A. Zona Norte,Pilar,-34.451624100000004,-58.9165454,209.0,1531.1004784688996
apartment,Bs.As. G.B.A. Zona Norte,Pilar,-34.4649130957,-58.8595998774,30.0,1566.666666666667
PH,Bs.As. G.B.A. Zona Norte,Pilar,-34.4518545,-58.9035669,140.0,1178.5714285714287
house,Capital Federal,Puerto Madero,-34.6177194,-58.3620561,80.0,875.0
apartment,Capital Federal,Balvanera,-34.60967479999999,-58.3986588,141.0,1702.127659574468
apartment,Bs.As. G.B.A. Zona Norte,San Isidro,-34.4825362878,-58.587873528900005,142.0,3098.591549295775
house,Capital Federal,Boedo,-34.636320899999994,-58.4107019,504.0,1091.2698412698412
apartment,Capital Federal,Caballito,-34.6222111,-58.43912829999999,50.0,2200.0
apartment,Capital Federal,Caballito,-34.623894314299996,-58.4468606529,100.0,1705.0
apartment,Capital Federal,Caballito,-34.6209278,-58.44587360000001,81.0,2721.1111111111113
apartment,Capital Federal,Caballito,-34.6209278,-58.44587360000001,81.0,2750.3703703703704
house,Bs.As. G.B.A. Zona Norte,San Isidro,-34.4815405,-58.537634,720.0,611.1111111111112
apartment,Capital Federal,Caballito,-34.6287865,-58.42778320000001,70.0,1542.857142857143
apartment,Capital Federal,Nuñez,-34.553577600000004,-58.45551139999999,50.0,3460.0
house,Bs.As. G.B.A. Zona Sur,Berazategui,-34.8222793407,-58.1808181479,290.0,1586.2068965517242
house,Bs.As. G.B.A. Zona Norte,Pilar,-34.4690857,-58.913461100000006,140.0,1135.7142857142858
apartment,Capital Federal,Boedo,-34.6187769485,-58.4026450688,38.0,1918.421052631579
house,Buenos Aires Costa Atlántica,Mar del Plata,-38.0150119,-57.5341134,332.0,1054.2168674698796
apartment,Buenos Aires Costa Atlántica,Mar del Plata,-38.0089211,-57.5461427,29.0,1758.6206896551723
apartment,Buenos Aires Costa Atlántica,Mar del Plata,-38.000151,-57.54315,90.0,1944.4444444444448
PH,Buenos Aires Costa Atlántica,Mar del Plata,-37.9959097,-57.55834029999999,140.0,657.1428571428571
apartment,Buenos Aires Costa Atlántica,Mar del Plata,-38.0002623,-57.5461556,42.0,1902.3809523809525
apartment,Buenos Aires Costa Atlántica,Mar del Plata,-37.9857857,-57.58271170000001,28.0,1960.7142857142856
apartment,Buenos Aires Costa Atlántica,San Bernardo,-36.6806689,-56.67748320000001,75.0,720.0
house,Córdoba,Córdoba,-31.429541974899998,-64.2438036203,200.0,238.3556
house,Entre Ríos,Colón,-32.209711337399995,-58.2150341126,344.0,423.888226744186
house,Buenos Aires Interior,Luján,-34.5850814167,-59.1181568709,534.0,280.8988764044944
house,Bs.As. G.B.A. Zona Sur,Lanús,-34.711441581799996,-58.3792223609,95.0,1263.157894736842
house,Córdoba,Punilla,-31.4180034,-64.50956550000001,129.0,543.4464341085271
house,Buenos Aires Costa Atlántica,Villa Gesell,-37.2633972,-56.9732704,450.0,277.77777777777777
house,Entre Ríos,Colón,-32.2155138937,-58.234014948900004,328.0,189.9853353658537
house,Bs.As. G.B.A. Zona Sur,Banfield,-34.738010100000004,-58.4038541,80.0,2062.5
apartment,Buenos Aires Costa Atlántica,Mar del Plata,-37.9939416,-57.5666243,112.0,892.8571428571429
house,Capital Federal,Floresta,-34.6280255,-58.46624789999999,600.0,365.83333333333326
house,Buenos Aires Costa Atlántica,Mar del Plata,-37.9610169,-57.6212221,380.0,236.84210526315792
apartment,Buenos Aires Costa Atlántica,Mar del Plata,-37.9580335,-57.5397252,47.0,1531.9148936170209
apartment,Buenos Aires Costa Atlántica,Mar del Plata,-37.9951681,-57.556337600000006,110.0,1545.4545454545455
apartment,Buenos Aires Costa Atlántica,Mar del Plata,-37.96374520000001,-57.5406483,97.0,876.2886597938144
house,Buenos Aires Costa Atlántica,Mar del Plata,-38.0947841,-57.5572926,338.0,295.8579881656805
apartment,Buenos Aires Costa Atlántica,Mar del Plata,-38.0022545,-57.5435468,36.0,2072.222222222222
apartment,Buenos Aires Costa Atlántica,Mar del Plata,-38.005987,-57.5451358,84.0,1666.666666666667
apartment,Buenos Aires Costa Atlántica,Mar del Plata,-37.9979578,-57.554260600000006,30.0,2166.6666666666665
apartment,Buenos Aires Costa Atlántica,Mar del Plata,-38.0031103,-57.5484595,36.0,1527.7777777777774
apartment,Buenos Aires Costa Atlántica,Mar del Plata,-38.0053306,-57.5510655,29.0,1927.586206896552
PH,Capital Federal,Barracas,-34.65045,-58.382404,156.0,1025.6410256410256
house,Bs.As. G.B.A. Zona Norte,San Andres,-34.577168,-58.538654,190.0,568.421052631579
apartment,Bs.As. G.B.A. Zona Oeste,Sáenz Peña,-34.5971063,-58.5294022,43.0,1558.139534883721
apartment,Bs.As. G.B.A. Zona Oeste,Sáenz Peña,-34.5971063,-58.5294022,43.0,1558.139534883721
house,Bs.As. G.B.A. Zona Norte,Pilar,-34.4804129,-58.9920461,350.0,1542.857142857143
PH,Capital Federal,Palermo,-34.585483,-58.428493,240.0,1312.5
store,Capital Federal,Congreso,-34.606296659,-58.3921889684,103.0,2864.0776699029125
apartment,Capital Federal,Villa Crespo,-34.5976786,-58.4430195,42.0,1757.142857142857
apartment,Capital Federal,Villa Crespo,-34.5972900112,-58.4476543572,44.0,1636.3636363636365
apartment,Capital Federal,Las Cañitas,-34.56457657510001,-58.4372870022,68.0,3455.8823529411766
apartment,Capital Federal,Belgrano,-34.5620844,-58.4566864,57.0,4210.526315789473
house,Bs.As. G.B.A. Zona Norte,Belén de Escobar,-34.3464684,-58.7886073,140.0,857.1428571428571
store,Capital Federal,Chacarita,-34.5901808,-58.449152100000006,80.0,2187.5
apartment,Capital Federal,Villa Crespo,-34.5976786,-58.4430195,33.0,1878.7878787878788
apartment,Capital Federal,Belgrano,-34.5652650561,-58.438232801999995,69.0,3447.753623188406
apartment,Capital Federal,Flores,-34.6255474,-58.4688765,65.0,1523.0769230769226
apartment,Capital Federal,Nuñez,-34.542750299999994,-58.46014520000001,66.0,3469.696969696969
apartment,Capital Federal,Nuñez,-34.542750299999994,-58.46014520000001,45.0,3000.0
apartment,Capital Federal,Belgrano,-34.5640079,-58.45670429999999,33.0,2806.060606060606
PH,Capital Federal,Almagro,-34.56910735,-58.40848979999999,85.0,1941.1764705882354
apartment,Santa Fe,Rosario,-32.9624973,-60.6481148,36.0,2022.128055555556
apartment,Santa Fe,Rosario,-32.9461942,-60.6329053,128.0,995.485234375
house,Bs.As. G.B.A. Zona Norte,Tigre,-34.39676470000001,-58.6476628,454.0,1431.7180616740088
house,Buenos Aires Costa Atlántica,Pinamar,-37.1145662,-56.8607055,130.0,807.6923076923077
house,Bs.As. G.B.A. Zona Norte,Tigre,-34.379763477800005,-58.6778488076,300.0,1400.0
house,Bs.As. G.B.A. Zona Norte,Tigre,-34.3806135197,-58.686088553699996,300.0,1400.0
apartment,Capital Federal,Palermo,-34.5888617,-58.41230720000001,39.0,3776.9230769230767
apartment,Capital Federal,Puerto Madero,-34.611463536900004,-58.3627451275,109.0,5045.871559633028
apartment,Bs.As. G.B.A. Zona Norte,San Isidro,-34.48533320000001,-58.5919848,80.0,3875.0
apartment,Capital Federal,Constitución,-34.6304059,-58.38275110000001,90.0,987.7777777777776
apartment,Capital Federal,Belgrano,-34.5620844,-58.4566864,128.0,2656.25
PH,Capital Federal,Mataderos,-34.6572422,-58.5029706,28.0,1892.857142857143
apartment,Capital Federal,Recoleta,-34.5955984,-58.4127129,33.0,3636.363636363637
house,Bs.As. G.B.A. Zona Norte,Escobar,-34.3881827454,-58.771038828500004,600.0,483.33333333333326
apartment,Capital Federal,Colegiales,-34.5769639,-58.4514688,126.0,1888.888888888889
apartment,Capital Federal,Villa Urquiza,-34.56178060000001,-58.4928894,127.0,2106.299212598425
apartment,Capital Federal,Villa Crespo,-34.5950254,-58.4381255,120.0,2541.6666666666665
apartment,Capital Federal,Barrio Norte,-34.5837821,-58.40422750000001,37.0,2648.648648648649
house,Santa Fe,Rosario,-32.965676300000005,-60.6744763,200.0,350.52295
apartment,Capital Federal,Palermo,-34.5765042465,-58.4314684478,47.0,2872.340425531915
house,Bs.As. G.B.A. Zona Sur,Lanús,-34.710026844699996,-58.3883100725,376.0,1143.6170212765958
apartment,Capital Federal,Saavedra,-34.555257,-58.492172,38.0,2500.0
apartment,Capital Federal,Saavedra,-34.555257,-58.492172,71.0,2549.2957746478874
apartment,Bs.As. G.B.A. Zona Oeste,Castelar,-34.6534243,-58.6393143,66.0,2166.6666666666665
apartment,Bs.As. G.B.A. Zona Oeste,Castelar,-34.650075,-58.6390392,46.0,2608.695652173913
apartment,Bs.As. G.B.A. Zona Oeste,Castelar,-34.6546021,-58.6381974,80.0,2000.0
house,Buenos Aires Costa Atlántica,Mar del Plata,-38.02557589999999,-57.5780163,234.0,512.8205128205128
apartment,Buenos Aires Costa Atlántica,Mar del Plata,-38.008826997199996,-57.5414943695,56.0,1642.857142857143
apartment,Buenos Aires Costa Atlántica,Mar del Plata,-38.0034731,-57.5501571,114.0,1666.666666666667
apartment,Buenos Aires Costa Atlántica,Mar del Plata,-37.9981865,-57.5630095,65.0,1769.2307692307693
house,Buenos Aires Costa Atlántica,Mar del Plata,-38.075495,-57.5576965,330.0,287.8787878787879
house,Buenos Aires Costa Atlántica,Mar del Plata,-37.9967528,-57.5702557,300.0,466.66666666666674
house,Buenos Aires Costa Atlántica,Mar del Plata,-37.9619958,-57.540701,400.0,337.5
PH,Buenos Aires Costa Atlántica,Mar del Plata,-38.0054771,-57.5426106,40.0,1500.0
house,Buenos Aires Costa Atlántica,Mar del Plata,-37.9918554,-57.5777326,286.0,419.58041958041963
apartment,Buenos Aires Interior,Bahía Blanca,-38.7314229,-62.2378094,40.0,1156.72575
apartment,Neuquén,Neuquén,-38.9500791,-68.0520473,85.0,2823.529411764706
apartment,Buenos Aires Costa Atlántica,Mar del Plata,-38.0165457,-57.5508794,96.0,2006.25
apartment,Buenos Aires Costa Atlántica,Mar del Plata,-38.0165457,-57.5508794,103.0,2281.553398058252
house,Bs.As. G.B.A. Zona Norte,Villa Ballester,-34.548126700000005,-58.554131700000006,120.0,1083.3333333333333
apartment,Capital Federal,Paternal,-34.603593700000005,-58.4654251,27.0,2283.54037037037
apartment,Capital Federal,Paternal,-34.603593700000005,-58.4654251,27.0,2312.765925925926
apartment,Capital Federal,Paternal,-34.603593700000005,-58.4654251,27.0,2342.428148148148
apartment,Capital Federal,Paternal,-34.603593700000005,-58.4654251,27.0,2372.09
apartment,Capital Federal,Paternal,-34.603593700000005,-58.4654251,32.0,2326.6225
apartment,Capital Federal,Paternal,-34.603593700000005,-58.4654251,32.0,2356.6184375
apartment,Capital Federal,Paternal,-34.603593700000005,-58.4654251,32.0,2386.614375
apartment,Capital Federal,Paternal,-34.603593700000005,-58.4654251,27.0,2296.408148148148
apartment,Capital Federal,Paternal,-34.603593700000005,-58.4654251,27.0,2326.5066666666667
apartment,Capital Federal,Paternal,-34.603593700000005,-58.4654251,27.0,2356.604814814815
apartment,Capital Federal,Paternal,-34.603593700000005,-58.4654251,27.0,2386.484814814815
apartment,Capital Federal,Paternal,-34.603593700000005,-58.4654251,27.0,2416.582962962963
apartment,Capital Federal,Paternal,-34.603593700000005,-58.4654251,33.0,2261.472121212121
apartment,Capital Federal,Paternal,-34.603593700000005,-58.4654251,33.0,2291.2730303030303
apartment,Capital Federal,Paternal,-34.603593700000005,-58.4654251,33.0,2320.8954545454544
apartment,Capital Federal,Paternal,-34.603593700000005,-58.4654251,28.0,2356.565714285714
apartment,Capital Federal,Paternal,-34.603593700000005,-58.4654251,28.0,2386.6407142857142
apartment,Capital Federal,Paternal,-34.603593700000005,-58.4654251,28.0,2416.715714285714
store,Capital Federal,Recoleta,-34.5959674,-58.4097736,33.0,4212.121212121212
PH,Santa Fe,Rosario,-32.9465191,-60.6639113,29.0,1392.4220689655176
apartment,Santa Fe,Rosario,-32.9506425,-60.6721142,46.0,1280.1708695652173
house,Bs.As. G.B.A. Zona Sur,La Plata,-34.955330700000005,-57.9410535,400.0,196.29285
house,Bs.As. G.B.A. Zona Sur,La Plata,-34.9781117,-58.0428361,260.0,519.2307692307694
apartment,Bs.As. G.B.A. Zona Sur,La Plata,-34.929433700000004,-57.9437397,59.0,1739.544406779661
apartment,Bs.As. G.B.A. Zona Sur,La Plata,-34.929433700000004,-57.9437397,45.0,1832.0666666666666
apartment,Bs.As. G.B.A. Zona Sur,La Plata,-34.929433700000004,-57.9437397,59.0,1834.6015254237286
apartment,Capital Federal,Caballito,-34.6064821857,-58.45840488050001,28.0,2303.5714285714284
house,Córdoba,Córdoba,-31.398058110700003,-64.231082667,180.0,1000.0
apartment,Capital Federal,Puerto Madero,-34.617915100000005,-58.3617661,54.0,6481.481481481482
apartment,Capital Federal,Agronomía,-34.5924699,-58.4944042,56.0,2500.0
PH,Capital Federal,Villa Pueyrredón,-34.5807783,-58.5058262,116.0,1706.896551724138
apartment,Capital Federal,Caballito,-34.609806299999995,-58.4547167,42.0,2166.6666666666665
apartment,Capital Federal,Coghlan,-34.561509,-58.4688221,39.0,2461.538461538461
apartment,Capital Federal,Palermo,-34.590242879899996,-58.4364018732,70.0,2557.142857142857
apartment,Capital Federal,Almagro,-34.609693799999995,-58.41981850000001,77.0,2727.2727272727275
apartment,Córdoba,Córdoba,-31.3970334125,-64.1878688335,54.0,2108.3307407407406
apartment,Córdoba,Córdoba,-31.3970627179,-64.1879063845,65.0,1897.3538461538465
house,Bs.As. G.B.A. Zona Norte,Pilar,-34.4778621,-58.9091671,192.0,1484.375
house,Bs.As. G.B.A. Zona Norte,Pilar,-34.4778621,-58.9091671,200.0,1350.0
house,Bs.As. G.B.A. Zona Norte,Pilar,-34.4778621,-58.9091671,470.0,1042.5531914893618
house,Bs.As. G.B.A. Zona Norte,Pilar,-34.4778621,-58.9091671,350.0,1200.0
apartment,Bs.As. G.B.A. Zona Norte,San Fernando,-34.435338185999996,-58.56545421,65.0,1307.6923076923074
house,Bs.As. G.B.A. Zona Norte,Vicente López,-34.531609,-58.4717607,291.0,1958.7628865979386
apartment,Buenos Aires Costa Atlántica,Mar del Plata,-37.991137717,-57.557308485600004,125.0,1240.0
apartment,Capital Federal,Puerto Madero,-34.617915100000005,-58.3617661,54.0,6111.1111111111095
house,Bs.As. G.B.A. Zona Norte,Pilar,-34.4360359523,-58.8005912791,315.0,1492.063492063492
apartment,Capital Federal,San Telmo,-34.626675382399995,-58.37266568890001,41.0,2642.829268292683
apartment,Córdoba,Villa Carlos Paz,-31.4141784,-64.488804,60.0,2666.6666666666665
apartment,Capital Federal,Almagro,-34.6176909,-58.4228255,56.0,2142.8571428571427
house,Mendoza,Mendoza,-32.949619816900004,-68.84965806560001,600.0,416.66666666666674
house,Mendoza,Gobernador Benegas,-32.950000800000005,-68.8499985,600.0,416.66666666666674
apartment,Capital Federal,Monserrat,-34.6130871,-58.38135989999999,60.0,2000.0
PH,Bs.As. G.B.A. Zona Oeste,San Justo,-34.676911364,-58.555260226499996,49.0,1428.5714285714291
apartment,Bs.As. G.B.A. Zona Norte,Tigre,-34.39676470000001,-58.6476628,120.0,2416.6666666666665
house,Bs.As. G.B.A. Zona Norte,Tigre,-34.4019700137,-58.663627308100004,365.0,2301.369863013699
house,Bs.As. G.B.A. Zona Norte,Pilar,-34.4778621,-58.9091671,280.0,1250.0
apartment,Bs.As. G.B.A. Zona Norte,Tigre,-34.39676470000001,-58.6476628,130.0,2307.692307692308
house,Capital Federal,Floresta,-34.633832700000006,-58.4926895,200.0,1400.0
house,Bs.As. G.B.A. Zona Sur,Bernal,-34.7150985,-58.2814599,300.0,833.3333333333335
apartment,Capital Federal,Recoleta,-34.5910354,-58.40062320000001,140.0,2700.0
apartment,Córdoba,Córdoba,-31.4469454,-64.194128,95.0,1504.3733684210526
apartment,Buenos Aires Costa Atlántica,Mar del Plata,-38.0009579,-57.55962339999999,43.0,2005.5646511627906
apartment,Córdoba,Córdoba,-31.4469454,-64.194128,48.0,1397.5577083333335
house,Bs.As. G.B.A. Zona Norte,General San Martín,-34.527786299999995,-58.56085570000001,206.0,679.6116504854368
apartment,Bs.As. G.B.A. Zona Norte,General San Martín,-34.545933700000006,-58.5483199,40.0,1950.0
house,Buenos Aires Interior,Buenos Aires Interior,-38.416097,-63.616672,293.0,1313.9931740614336
house,Bs.As. G.B.A. Zona Sur,Jose Marmol,-34.7864852,-58.36625770000001,238.0,840.3361344537815
house,Córdoba,Punilla,-31.4402651004,-64.5172681438,450.0,333.3333333333333
house,Córdoba,Punilla,-31.4525438,-64.5084548,450.0,236.79773333333333
house,Bs.As. G.B.A. Zona Oeste,Ituzaingó,-34.619580799999994,-58.7048733,242.0,495.8677685950413
house,Buenos Aires Costa Atlántica,Mar del Plata,-37.9638994,-57.5790314,170.0,700.0
apartment,Buenos Aires Costa Atlántica,Mar del Plata,-38.01203029999999,-57.5444231,77.0,1623.3766233766235
apartment,Buenos Aires Costa Atlántica,Mar del Plata,-38.0069854,-57.554412600000006,77.0,1493.5064935064936
apartment,Buenos Aires Costa Atlántica,Mar del Plata,-37.9979643,-57.5542583,33.0,1818.1818181818185
apartment,Buenos Aires Costa Atlántica,Mar del Plata,-37.99624779999999,-57.5485356,38.0,1292.5071052631579
apartment,Buenos Aires Costa Atlántica,Mar del Plata,-37.99624779999999,-57.5485356,78.0,1326.235128205128
apartment,Buenos Aires Costa Atlántica,Mar del Plata,-37.99624779999999,-57.5485356,55.0,1264.4318181818182
house,Buenos Aires Interior,Bahía Blanca,-38.6587805915,-62.2693182561,750.0,426.66666666666674
apartment,Córdoba,Córdoba,-31.4131939,-64.170158,73.0,1369.86301369863
apartment,Buenos Aires Costa Atlántica,Mar del Plata,-38.0078854,-57.53954690000001,55.0,1200.0
apartment,Santa Fe,Rosario,-32.9531789216,-60.6295183434,30.0,1589.0373333333334
house,Buenos Aires Costa Atlántica,Mar del Plata,-37.956051,-57.55445,110.0,1181.8181818181818
apartment,Capital Federal,Boca,-34.633761,-58.360234,83.0,1686.7469879518073
store,Capital Federal,San Telmo,-34.624470200000005,-58.37117420000001,75.0,2186.6666666666665
store,Capital Federal,San Telmo,-34.6211839,-58.37311629999999,79.0,2658.227848101266
apartment,Capital Federal,Caballito,-34.6209278,-58.44587360000001,28.0,2339.285714285714
PH,Capital Federal,Mataderos,-34.6569204,-58.4897843,150.0,1100.0
house,Capital Federal,Parque Avellaneda,-34.646054799999995,-58.4911219,191.0,837.6963350785339
apartment,Capital Federal,Boca,-34.6344961,-58.36313370000001,33.0,1606.060606060606
apartment,Capital Federal,Coghlan,-34.56150820000001,-58.4688228,104.0,2057.692307692308
apartment,Capital Federal,Palermo,-34.571149600000005,-58.4232966,106.0,2924.528301886793
house,Bs.As. G.B.A. Zona Norte,Tigre,-34.4223435007,-58.5794868386,100.0,1700.0
apartment,Córdoba,Córdoba,-31.397070044099998,-64.1878473759,42.0,1602.3907142857145
apartment,Bs.As. G.B.A. Zona Norte,Tigre,-34.4274961488,-58.6547867471,81.0,2716.049382716049
apartment,Bs.As. G.B.A. Zona Norte,Tigre,-34.4084868477,-58.592026976599996,91.0,3021.978021978022
apartment,Bs.As. G.B.A. Zona Norte,Tigre,-34.40014,-58.64985,74.0,3108.108108108108
apartment,Bs.As. G.B.A. Zona Norte,Tigre,-34.39676470000001,-58.6476628,104.0,1759.6153846153845
apartment,Bs.As. G.B.A. Zona Norte,Tigre,-34.3930798091,-58.6455764687,46.0,3586.9565217391296
apartment,Bs.As. G.B.A. Zona Norte,Tigre,-34.40014,-58.64985,45.0,2888.888888888889
apartment,Bs.As. G.B.A. Zona Norte,Tigre,-34.4238342691,-58.658963181400004,75.0,2800.0
apartment,Bs.As. G.B.A. Zona Norte,Tigre,-34.39676470000001,-58.6476628,70.0,2214.285714285714
apartment,Bs.As. G.B.A. Zona Norte,Tigre,-34.4089035088,-58.6345292221,45.0,3555.555555555556
house,Bs.As. G.B.A. Zona Norte,Tigre,-34.4309527,-58.5621323,160.0,1687.5
house,Bs.As. G.B.A. Zona Norte,Tigre,-34.4309527,-58.5621323,160.0,1812.5
apartment,Bs.As. G.B.A. Zona Norte,Tigre,-34.40014,-58.64985,52.0,2019.2307692307693
house,Bs.As. G.B.A. Zona Norte,Tigre,-34.4538305,-58.62244370000001,340.0,1735.2941176470588
apartment,Bs.As. G.B.A. Zona Norte,Tigre,-34.39676470000001,-58.6476628,50.0,2600.0
apartment,Bs.As. G.B.A. Zona Norte,Tigre,-34.4308974,-58.6882264,68.0,2426.4705882352937
apartment,Bs.As. G.B.A. Zona Norte,Tigre,-34.425087,-58.5796585,75.0,3000.0
apartment,Bs.As. G.B.A. Zona Norte,Tigre,-34.39676470000001,-58.6476628,68.0,2676.4705882352937
house,Bs.As. G.B.A. Zona Norte,Tigre,-34.425087,-58.5796585,220.0,1909.090909090909
apartment,Bs.As. G.B.A. Zona Norte,Tigre,-34.3907027108,-58.6437345634,83.0,2891.566265060241
apartment,Bs.As. G.B.A. Zona Norte,Tigre,-34.39676470000001,-58.6476628,65.0,2892.3076923076924
apartment,Bs.As. G.B.A. Zona Norte,Tigre,-34.40014,-58.64985,50.0,2600.0
apartment,Bs.As. G.B.A. Zona Norte,Tigre,-34.40014,-58.64985,35.0,2714.285714285714
house,Bs.As. G.B.A. Zona Norte,Tigre,-34.40014,-58.64985,180.0,2000.0
apartment,Bs.As. G.B.A. Zona Norte,Tigre,-34.39676470000001,-58.6476628,48.0,3520.833333333333
house,Bs.As. G.B.A. Zona Norte,Tigre,-34.425087,-58.5796585,370.0,2702.7027027027025
apartment,Bs.As. G.B.A. Zona Norte,Tigre,-34.39676470000001,-58.6476628,47.0,2489.36170212766
house,Bs.As. G.B.A. Zona Norte,San Isidro,-34.470828999999995,-58.52861020000001,430.0,1906.9767441860465
apartment,Bs.As. G.B.A. Zona Norte,La Lucila,-34.4941179,-58.4844125,75.0,2800.0
apartment,Bs.As. G.B.A. Zona Norte,La Lucila,-34.4941179,-58.4844125,125.0,3304.0
apartment,Bs.As. G.B.A. Zona Norte,La Lucila,-34.4941179,-58.4844125,100.0,3560.0
house,Bs.As. G.B.A. Zona Norte,Escobar,-34.340252500000005,-58.7849434,200.0,1150.0
house,Bs.As. G.B.A. Zona Norte,Malvinas Argentinas,-34.479665000000004,-58.7030326,300.0,1983.333333333333
apartment,Bs.As. G.B.A. Zona Norte,Tigre,-34.4084292,-58.592348,59.0,2796.610169491525
house,Bs.As. G.B.A. Zona Norte,Tigre,-34.4473114,-58.632433,350.0,2714.285714285714
house,Bs.As. G.B.A. Zona Norte,Tigre,-34.4129574275,-58.6768008362,105.0,2190.4761904761904
apartment,Bs.As. G.B.A. Zona Norte,Tigre,-34.4090849354,-58.6328735269,77.0,3116.883116883117
apartment,Bs.As. G.B.A. Zona Norte,Tigre,-34.39676470000001,-58.6476628,45.0,2622.222222222222
apartment,Bs.As. G.B.A. Zona Norte,Tigre,-34.40014,-58.64985,46.0,3586.9565217391296
apartment,Bs.As. G.B.A. Zona Norte,Tigre,-34.39676470000001,-58.6476628,74.0,3513.5135135135133
apartment,Bs.As. G.B.A. Zona Norte,Tigre,-34.40014,-58.64985,70.0,2142.8571428571427
apartment,Bs.As. G.B.A. Zona Norte,Tigre,-34.39676470000001,-58.6476628,72.0,1944.4444444444448
apartment,Bs.As. G.B.A. Zona Norte,Tigre,-34.40014,-58.64985,47.0,3617.0212765957453
apartment,Bs.As. G.B.A. Zona Norte,Tigre,-34.39676470000001,-58.6476628,46.0,3152.1739130434785
apartment,Bs.As. G.B.A. Zona Norte,Tigre,-34.39676470000001,-58.6476628,48.0,3229.166666666666
apartment,Bs.As. G.B.A. Zona Norte,Tigre,-34.39676470000001,-58.6476628,58.0,3275.8620689655168
apartment,Bs.As. G.B.A. Zona Norte,Tigre,-34.39676470000001,-58.6476628,58.0,3189.6551724137926
apartment,Bs.As. G.B.A. Zona Norte,Tigre,-34.39676470000001,-58.6476628,37.0,2972.972972972973
apartment,Bs.As. G.B.A. Zona Norte,Tigre,-34.4228922077,-58.5884990609,62.0,2580.6451612903224
house,Bs.As. G.B.A. Zona Norte,Tigre,-34.39676470000001,-58.6476628,220.0,2113.6363636363635
apartment,Bs.As. G.B.A. Zona Norte,Tigre,-34.39676470000001,-58.6476628,50.0,3160.0
apartment,Bs.As. G.B.A. Zona Norte,Tigre,-34.4251796,-58.5927394,91.0,2252.7472527472532
house,Bs.As. G.B.A. Zona Norte,Pilar,-34.4778621,-58.9091671,210.0,1233.3333333333333
apartment,Capital Federal,Recoleta,-34.5955984,-58.4127129,43.0,3883.720930232558
apartment,Capital Federal,San Telmo,-34.6211839,-58.37311629999999,55.0,1709.090909090909
store,Capital Federal,Barrio Norte,-34.594538,-58.3962794,210.0,2857.142857142857
apartment,Capital Federal,Boca,-34.6344961,-58.36313370000001,55.0,1709.090909090909
apartment,Capital Federal,Barracas,-34.634537,-58.3591752,55.0,1709.090909090909
apartment,Capital Federal,Recoleta,-34.5895459,-58.39736360000001,28.0,3750.0
house,Bs.As. G.B.A. Zona Norte,Tigre,-34.40014,-58.64985,440.0,2386.3636363636365
apartment,Capital Federal,Recoleta,-34.5955984,-58.4127129,37.0,3513.5135135135133
