property_type,state_name,place_name,lat,lon,surface_total_in_m2,price_usd_per_m2
PH,Bs.As. G.B.A. Zona Norte,Villa Lynch,-34.584866299999995,-58.5311162,70.0,800.0
apartment,Bs.As. G.B.A. Zona Norte,General San Martín,-34.5759506,-58.5372696,120.0,791.6666666666665
PH,Bs.As. G.B.A. Zona Norte,General San Martín,-34.5702789,-58.5284381,115.0,1000.0
house,Bs.As. G.B.A. Zona Norte,General San Martín,-34.568905,-58.558533,180.0,611.1111111111112
apartment,Bs.As. G.B.A. Zona Norte,General San Martín,-34.5741718,-58.5393299,70.0,1471.4285714285709
PH,Capital Federal,Villa Lugano,-34.6736707,-58.4756636,70.0,1114.2857142857142
PH,Capital Federal,Villa Lugano,-34.6799723,-58.4749565,92.0,1000.0
house,Capital Federal,Villa Lugano,-34.675397828099996,-58.4755944456,110.0,1181.8181818181818
house,Bs.As. G.B.A. Zona Sur,Temperley,-34.783183,-58.4113084,411.0,291.97080291970804
apartment,Capital Federal,San Telmo,-34.6137125,-58.3728516,32.0,1750.0
apartment,Capital Federal,San Telmo,-34.621672499999995,-58.3682918,48.0,1645.833333333333
apartment,Capital Federal,Caballito,-34.6250416,-58.4494796,38.0,1921.0526315789475
house,Bs.As. G.B.A. Zona Oeste,Tres de Febrero,-34.569731299999994,-58.5968382,400.0,350.0
store,Capital Federal,Tribunales,-34.6062433,-58.38397120000001,130.0,2230.769230769231
house,Bs.As. G.B.A. Zona Norte,General San Martín,-34.5717206,-58.5405068,130.0,807.6923076923077
apartment,Capital Federal,Almagro,-34.6091222796,-58.415980339099995,37.0,2108.108108108108
apartment,Capital Federal,Centro / Microcentro,-34.603723200000005,-58.3815931,20.0,2750.0
house,Capital Federal,Caballito,-34.6284523,-58.4490586,500.0,1400.0
house,Capital Federal,Flores,-34.627233600000004,-58.461747,360.0,694.4444444444445
apartment,Capital Federal,Flores,-34.6248691,-58.4627352,95.0,2315.7894736842104
house,Capital Federal,Flores,-34.6237477,-58.46325820000001,70.0,1857.142857142857
apartment,Bs.As. G.B.A. Zona Oeste,Santos Lugares,-34.5985711,-58.5584424,50.0,1100.0
apartment,Bs.As. G.B.A. Zona Norte,San Isidro,-34.489321000000004,-58.49808340000001,50.0,2300.0
