property_type,state_name,place_name,lat,lon,surface_total_in_m2,price_aprox_usd
apartment,Capital Federal,Floresta,-34.6305583,-58.4727948,54.874166483961105,70000.0
apartment,Capital Federal,Congreso,-34.6093483668,-58.3850130612,20.0,52000.0
store,Bs.As. G.B.A. Zona Norte,Pilar,-34.4350341,-58.8312179,75.0,80000.0
apartment,Bs.As. G.B.A. Zona Sur,Ezeiza,-34.8495622,-58.5120829,130.0,160000.0
apartment,Capital Federal,Palermo,-34.589349799999994,-58.40806,83.0,235000.0
apartment,Buenos Aires Costa Atlántica,Monte Hermoso,-38.9881886,-61.2919409,60.36158313235722,83000.0
PH,Bs.As. G.B.A. Zona Norte,General San Martín,-34.5676852,-58.5140576,170.0,170000.0
apartment,Bs.As. G.B.A. Zona Oeste,Morón,-34.6592076,-58.59551139999999,40.0,58000.0
apartment,Bs.As. G.B.A. Zona Sur,Avellaneda,-34.6674388,-58.35648320000001,75.0,155000.0
house,Bs.As. G.B.A. Zona Sur,Ezeiza,-34.8461641,-58.5060547,771.0,415000.0
apartment,Capital Federal,Barrio Norte,-34.597801700000005,-58.4019897,80.0,180000.0
apartment,Capital Federal,Flores,-34.6218052838,-58.4738742958,66.0,129000.0
apartment,Capital Federal,Balvanera,-34.6095053096,-58.399045627,36.0,95000.0
PH,Capital Federal,Barracas,-34.636396000000005,-58.375052,105.0,170000.0
apartment,Capital Federal,Boca,-34.634121,-58.36099300000001,70.0,90000.0
apartment,Capital Federal,Barracas,-34.631839,-58.370876,61.0,100000.0
apartment,Capital Federal,San Cristobal,-34.618922999999995,-58.394503,43.0,114000.0
apartment,Buenos Aires Costa Atlántica,Mar del Plata,-38.08051500000001,-57.541495,48.0,82000.0
apartment,Capital Federal,Villa Luro,-34.6433814,-58.50366700000001,77.0,172000.0
house,Bs.As. G.B.A. Zona Norte,Del Viso,-34.4260882202,-58.787453025299996,140.0,169000.0
house,Córdoba,Córdoba,-31.3856238,-64.2064994,519.1897912108242,290000.0
house,Córdoba,Córdoba,-31.3439565,-64.3370932,300.15659804375775,255000.0
house,Córdoba,Córdoba,-31.3439565,-64.3370932,259.5948956054121,215000.0
house,Córdoba,Córdoba,-31.2669059,-64.3082612,141.15472448544284,450000.0
apartment,Córdoba,Córdoba,-31.3845315,-64.2634733,131.69799956150666,310000.0
apartment,Córdoba,Córdoba,-31.3845315,-64.2634733,76.82383307754554,140000.0
apartment,Córdoba,Córdoba,-31.4052485,-64.2152679,52.67919982460266,780000.0
house,Córdoba,Córdoba,-31.4515408,-64.20853120000001,274.19710848321654,120000.0
house,Córdoba,Córdoba,-31.4555788,-64.2023615,670.07932428147,500000.0
apartment,Córdoba,Córdoba,-31.4158825,-64.19737310000001,50.48423316524422,900000.0
house,Córdoba,Córdoba,-31.3437093,-64.2596372,600.3131960875155,290000.0
house,Córdoba,Las Calles,-31.8234597,-64.9728091,162.24680975338256,2800000.0
apartment,Bs.As. G.B.A. Zona Sur,Lanús,-34.7092874,-58.3873279,45.0,75000.0
apartment,Capital Federal,Barracas,-34.6364285815,-58.3635416674,99.0,130000.0
PH,Capital Federal,Villa Urquiza,-34.5764509,-58.4765813,95.0,279000.0
PH,Capital Federal,Villa Urquiza,-34.5764509,-58.4765813,125.0,319000.0
house,Bs.As. G.B.A. Zona Norte,Tigre,-34.447361,-58.631426,770.0,395000.0
PH,Capital Federal,Villa Urquiza,-34.57680379999999,-58.4771785,140.0,262000.0
PH,Capital Federal,Villa Urquiza,-34.573170399999995,-58.5022937,104.0,192000.0
apartment,Bs.As. G.B.A. Zona Sur,La Plata,-34.9197175,-57.9406937,70.0,77000.0
apartment,Bs.As. G.B.A. Zona Sur,La Plata,-34.923581299999995,-57.9356039,54.0,75000.0
apartment,Capital Federal,San Telmo,-34.62385,-58.377764,51.58171649492344,86000.0
apartment,Capital Federal,Palermo,-34.577684999999995,-58.42433000000001,62.55654979171566,295000.0
apartment,Santa Fe,Santa Fe,-31.635124,-60.70881,61.45906646203644,51596.98
apartment,Capital Federal,Barracas,-34.640146,-58.369074,106.45588297888455,285000.0
PH,Bs.As. G.B.A. Zona Norte,Villa Adelina,-34.513234000000004,-58.555026,24.64967057440266,138000.0
house,Bs.As. G.B.A. Zona Norte,Pilar,-34.390147,-58.859049,303.40153423882543,235000.0
house,Neuquén,Lácar,-40.15285,-71.358798,137.9097882903752,120000.0
house,Capital Federal,Palermo,-34.596618,-58.417697,786.8970273039055,1150000.0
PH,Capital Federal,Liniers,-34.645813000000004,-58.517552,82.57639642424891,150000.0
house,Santa Fe,Rosario,-32.978001,-60.629479,189.82876741145762,58887.86
house,Bs.As. G.B.A. Zona Norte,Pilar,-34.459685,-58.914442,339.0958323845696,280000.0
house,Bs.As. G.B.A. Zona Norte,Pilar,-34.389983,-58.877707,173.60408643611936,155000.0
